ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(3.10598e+06)","Runtime Improvement""""(345226)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
40,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,16.77,0.00,56.98,59.43,33,"    1,    8,  512","  256,    1,    1"
41,22.97,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x128_16x6_nhwc_align4..,113.54,26.08,29.66,28.93,152,"   52,    1,    1","  128,    1,    1"
42,5.37,nhwcToNchwKernel,..nhwc2nchw_params_t..,6.53,0.35,18.70,49.06,40,"   25,   16,    1","  256,    1,    1"
43,5.17,elementwise_kernel,..gpu_kernel_impl_nocast..,6.78,0.35,18.71,40.32,16," 1568,    1,    1","  128,    1,    1"
44,16.24,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,6.02,0.98,6.16,48.31,18,"  784,    1,    1","  128,    1,    1"
45,10.03,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.56,0.66,18.37,46.21,33,"   25,   16,    1","  256,    1,    1"
46,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,29.44,0.00,58.75,68.47,33,"    1,   16,  512","  256,    1,    1"
47,21.53,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4..,220.42,47.46,32.88,20.61,168,"   28,    2,    1","  128,    1,    1"
48,5.03,nhwcToNchwKernel,..nhwc2nchw_params_t..,6.24,0.31,15.45,50.66,40,"   25,   16,    1","  256,    1,    1"
49,9.52,elementwise_kernel,..gpu_kernel_impl_nocast..,6.56,0.62,22.34,44.28,16," 1568,    1,    1","  128,    1,    1"
